statuses_count,followers_count,friends_count,favourites_count,listed_count,verified,default_profile,default_profile_image,geo_enabled,account_age_days,follower_following_ratio,activity_rate,engagement_proxy,tweet_to_followers,has_url,has_description,name_length,digits_in_name,label,source
2177,208,332,265,1,0,0,0,0,811.0,0.6246246246246246,2.6810344827586206,0.004784688995215311,10.416267942583731,0,1,8,4,0,genuine_accounts.csv
2660,330,485,3972,5,0,0,0,0,475.0,0.6790123456790124,5.588235294117647,0.015105740181268883,8.036253776435045,0,1,8,4,0,genuine_accounts.csv
1254,166,177,1185,0,0,0,0,0,1580.0,0.9325842696629213,0.793168880455408,0.0,7.508982035928144,0,1,9,2,0,genuine_accounts.csv
202968,2248,981,60304,101,0,0,0,0,1809.0,2.2892057026476578,112.13701657458563,0.04490884837705647,90.24811027123165,1,1,11,0,0,genuine_accounts.csv
82,21,79,5,0,0,0,0,0,206.0,0.2625,0.3961352657004831,0.0,3.727272727272727,0,1,15,8,0,genuine_accounts.csv
12915,641,1066,1568,7,0,0,0,0,672.0,0.6007497656982193,19.190193164933135,0.010903426791277258,20.11682242990654,0,1,12,4,0,genuine_accounts.csv
13676,1042,2000,19012,7,0,0,0,0,692.0,0.5207396301849075,19.734487734487736,0.006711409395973154,13.112176414189838,0,1,15,1,0,genuine_accounts.csv
61294,561,118,590,4,0,0,0,0,1651.0,4.714285714285714,37.10290556900726,0.0071174377224199285,109.06405693950178,1,1,15,1,0,genuine_accounts.csv
4854,337,256,1407,4,0,0,0,0,725.0,1.311284046692607,6.68595041322314,0.011834319526627219,14.36094674556213,0,1,13,1,0,genuine_accounts.csv
2408,421,338,2227,5,0,0,0,0,875.0,1.2418879056047198,2.7488584474885847,0.011848341232227487,5.706161137440758,0,1,8,1,0,genuine_accounts.csv
24581,335,276,10570,4,0,0,0,0,1435.0,1.2093862815884477,17.117688022284124,0.011904761904761904,73.1577380952381,1,1,15,2,0,genuine_accounts.csv
2132,232,225,101,56,0,0,0,0,2326.0,1.0265486725663717,0.9162011173184358,0.24034334763948498,9.150214592274677,1,1,13,1,0,genuine_accounts.csv
10354,1948,2096,3,88,0,0,0,0,2377.0,0.9289461134954697,4.354079058031959,0.04515135967162647,5.312467932272961,1,1,7,2,0,genuine_accounts.csv
18484,271,216,8487,0,0,0,0,0,794.0,1.2488479262672811,23.250314465408806,0.0,67.95588235294117,1,1,6,1,0,genuine_accounts.csv
88,16,74,397,0,0,0,0,0,1489.0,0.21333333333333335,0.05906040268456376,0.0,5.176470588235294,0,1,9,3,0,genuine_accounts.csv
2418,1190,355,1092,11,0,0,0,0,1073.0,3.342696629213483,2.2513966480446927,0.009235936188077247,2.0302267002518892,1,1,8,2,0,genuine_accounts.csv
10839,7842,7836,8329,34,0,0,0,0,1935.0,1.000637999234401,5.598657024793388,0.004335075863827617,1.3819966849419865,1,1,11,0,0,genuine_accounts.csv
4774,552,787,4029,11,0,0,0,0,589.0,0.700507614213198,8.091525423728813,0.019891500904159132,8.632911392405063,0,1,13,1,0,genuine_accounts.csv
36,223,166,864,2,0,0,0,0,566.0,1.3353293413173652,0.06349206349206349,0.008928571428571428,0.16071428571428573,0,1,11,1,0,genuine_accounts.csv
9412,303,325,7304,2,0,0,0,0,1724.0,0.9294478527607362,5.456231884057971,0.006578947368421052,30.960526315789473,1,1,8,3,0,genuine_accounts.csv
55052,1978,197,7274,7,0,0,0,0,1444.0,9.98989898989899,38.09826989619377,0.0035371399696816574,27.81808994441637,0,1,13,4,0,genuine_accounts.csv
69809,1605,969,12583,2,0,0,0,0,2251.0,1.6546391752577319,30.99866785079929,0.0012453300124533001,43.46762141967621,0,1,10,3,0,genuine_accounts.csv
7207,212,150,1877,0,0,0,0,0,752.0,1.403973509933775,9.571049136786188,0.0,33.83568075117371,0,1,8,3,0,genuine_accounts.csv
